# abs_vel_axis  fit_absorption_spectrum  abs_noise_env_prime  em_vel_axis  fit_emission_spectrum  em_spectrum_err
-3.100000000000000000e+02 7.337848000000000148e-01 2.079602601914002369e-01 -7.460740628000000640e+01 1.638730546583374581e+00 5.390177000000000440e+00
-3.095876475300000266e+02 6.428002533333332380e-01 2.081187098051681950e-01 -7.501975874999999405e+01 1.598981074166112792e+00 6.804612599999999567e+00
-3.091752950599999963e+02 6.243155999999998595e-01 2.096401008237701313e-01 -7.543211121999999591e+01 -3.276116627931132119e-01 6.725733299999999915e+00
-3.087629425900000228e+02 6.966957433333332839e-01 2.156106439230134897e-01 -7.584446368999999777e+01 1.466160425268007161e+00 7.245815999999999590e+00
-3.083505901199999926e+02 8.321853666666666482e-01 2.238710910703465562e-01 -7.625681616999999335e+01 2.421596799957939083e-01 9.707254000000000715e+00
-3.079382376400000112e+02 8.994343200000000094e-01 2.312713620931172165e-01 -7.666916863999999521e+01 4.829443460569141089e-01 4.943221999999999561e+00
-3.075258851699999809e+02 9.483044433333333023e-01 2.326623377950862437e-01 -7.708152110999999707e+01 5.585263574310211920e-01 1.157022300000000037e+01
-3.071135327000000075e+02 9.969376666666666109e-01 2.266990101371851030e-01 -7.749387357999999892e+01 -2.010734611194871402e+00 4.693837000000000259e+00
-3.067011802299999772e+02 9.901952666666665737e-01 2.188725492806461448e-01 -7.790622605000000078e+01 -2.612004206154097563e+00 6.423035600000000400e+00
-3.062888277600000038e+02 9.413011833333333467e-01 2.125807249712294844e-01 -7.831857852000000264e+01 -3.027298308113323788e+00 5.371847999999999956e+00
-3.058764752899999735e+02 8.761130833333332646e-01 2.098475471303254125e-01 -7.873093099000000450e+01 5.101020032811298677e-01 6.260494699999999746e+00
-3.054641228200000000e+02 8.359867266666666241e-01 2.083160074645351578e-01 -7.914328347000000008e+01 1.038798426008916698e+00 3.247645400000000127e+00
-3.050517703500000266e+02 7.244497100000000245e-01 2.114764429171167026e-01 -7.955563594000000194e+01 5.178848107367034492e-01 1.009478700000000018e+01
-3.046394178799999963e+02 6.861189599999999444e-01 2.152854181903623987e-01 -7.996798841000000380e+01 -1.840315812225229164e-01 6.640200600000000009e+00
-3.042270654100000229e+02 8.509314499999999226e-01 2.180969496174476607e-01 -8.038034088000000565e+01 -4.662988075150825140e-01 6.110888499999999723e+00
-3.038147129299999847e+02 1.032305849999999969e+00 2.147609351761065322e-01 -8.079269334999999330e+01 -5.106904528076420258e-01 6.765427599999999764e+00
-3.034023604600000112e+02 1.160654033333333279e+00 2.111073692666625146e-01 -8.120504581999999516e+01 -2.588625921413188813e+00 9.026987999999999346e+00
-3.029900079899999810e+02 1.175449933333333252e+00 2.158693056306352220e-01 -8.161739830000000495e+01 -2.661178973685401683e+00 6.756781000000000148e+00
-3.025776555200000075e+02 1.214894399999999930e+00 2.184780845746573941e-01 -8.202975077000000681e+01 -3.028990063157614987e+00 4.646898700000000382e+00
-3.021653030499999772e+02 1.194270600000000071e+00 2.217166112035033609e-01 -8.244210323999999446e+01 1.011581488315904664e-02 5.528319399999999995e+00
-3.017529505800000038e+02 1.112497000000000069e+00 2.174581008235689783e-01 -8.285445570999999632e+01 1.942174352923932590e+00 6.318806999999999618e+00
-3.013405981099999735e+02 1.138741100000000062e+00 2.131652764947837009e-01 -8.326680817999999817e+01 2.183559075164706709e+00 6.680287400000000098e+00
-3.009282456400000001e+02 1.289783499999999972e+00 2.182304203137493681e-01 -8.367916065000000003e+01 1.445104639892493381e+00 6.870561000000000362e+00
-3.005158931700000267e+02 1.424299999999999899e+00 2.270210626050234159e-01 -8.409151312999999561e+01 -7.090770920463865812e-01 5.802802599999999700e+00
-3.001035406999999964e+02 1.365680100000000063e+00 2.376586988088076891e-01 -8.450386559999999747e+01 -9.723822529185998098e-01 7.602222399999999602e+00
-2.996911882200000150e+02 1.111406953333333281e+00 2.359342254993869181e-01 -8.491621806999999933e+01 -6.874922821115909966e-02 5.628785599999999611e+00
-2.992788357499999847e+02 8.990978066666666102e-01 2.311532065159486171e-01 -8.532857054000000119e+01 6.316243316294804788e-02 6.616458399999999962e+00
-2.988664832800000113e+02 8.330197399999998975e-01 2.242238161650666195e-01 -8.574092301000000305e+01 5.050493601370551477e-01 4.123758300000000432e+00
-2.984541308099999810e+02 8.645906199999999764e-01 2.220911515174397444e-01 -8.615327548000000490e+01 -1.286144278488837722e+00 4.817184400000000366e+00
-2.980417783400000076e+02 8.450265466666666558e-01 2.152707166142674433e-01 -8.656562795000000676e+01 -8.812621709438417383e-02 4.080775299999999994e+00
-2.976294258699999773e+02 8.160280466666666177e-01 2.215425884986521599e-01 -8.697798043000000234e+01 -1.163969365699930814e+00 6.372575000000000323e+00
-2.972170734000000039e+02 8.823390799999999423e-01 2.242744638788934930e-01 -8.739033290000000420e+01 -2.659048597638810296e+00 6.276098300000000130e+00
-2.968047209299999736e+02 1.067888033333333375e+00 2.239798743517062707e-01 -8.780268537000000606e+01 -2.461850139598036780e+00 6.847974999999999923e+00
-2.963923684600000001e+02 1.147984200000000010e+00 2.197896305573770193e-01 -8.821503783999999371e+01 -2.192793118223929749e+00 6.254349699999999679e+00
-2.959800159900000267e+02 1.207098333333333162e+00 2.147121277949519680e-01 -8.862739030999999557e+01 1.008566219816843912e+00 5.657901299999999800e+00
-2.955676635099999885e+02 1.196281466666666571e+00 2.150629845195690948e-01 -8.903974277999999742e+01 2.157259032112973929e-01 6.313407400000000003e+00
-2.951553110400000151e+02 1.257278566666666597e+00 2.136119535524992619e-01 -8.945209525999999300e+01 8.789607802724178631e-01 4.921477999999999575e+00
-2.947429585699999848e+02 1.264608999999999872e+00 2.147777130193132267e-01 -8.986444772999999486e+01 3.053710450002047883e-01 1.124466299999999919e+01
-2.943306061000000113e+02 1.207645199999999974e+00 2.191513712855380491e-01 -9.027680019999999672e+01 -2.126713939590214597e-01 5.866090999999999944e+00
-2.939182536299999811e+02 1.021456153333333283e+00 2.200275533056266775e-01 -9.068915266999999858e+01 -6.537071452515811343e-01 7.813307299999999955e+00
-2.935059011600000076e+02 9.178190433333333065e-01 2.161513578362461718e-01 -9.110150514000000044e+01 -3.021965572108071818e-01 5.650092599999999798e+00
-2.930935486899999773e+02 8.564738100000000021e-01 2.132615132359050591e-01 -9.151385761000000230e+01 8.530557318364635766e-02 6.512386300000000183e+00
-2.926811962200000039e+02 8.781261699999999282e-01 2.182403807001125906e-01 -9.192621008999999788e+01 6.768387357810001781e-02 4.055019999999999847e+00
-2.922688437499999736e+02 9.282387466666666143e-01 2.238058612517626056e-01 -9.233856255999999973e+01 -6.502973183607799745e-01 9.308111000000000246e+00
-2.918564912800000002e+02 9.089506466666665840e-01 2.196264027824956500e-01 -9.275091503000000159e+01 -1.440973765333956359e-02 8.476494000000000639e+00
-2.914441388000000188e+02 8.809711333333333227e-01 2.074645442824498420e-01 -9.316326750000000345e+01 2.371721435054100713e+00 7.678930000000000256e+00
-2.910317863299999885e+02 8.370507999999999837e-01 1.985518235000679754e-01 -9.357561997000000531e+01 2.118164453094874666e+00 5.574404200000000031e+00
-2.906194338600000151e+02 8.689336666666666043e-01 1.989124279745903001e-01 -9.398797243999999296e+01 2.589644411135648472e+00 8.488376999999999839e+00
-2.902070813899999848e+02 8.860672799999999016e-01 2.100150616435209339e-01 -9.440032490999999482e+01 6.353591348634349822e-01 8.017523000000000621e+00
-2.897947289200000114e+02 9.056788599999999745e-01 2.177637903432893263e-01 -9.481267739000000461e+01 -2.099623934087781196e-01 8.545801000000000869e+00
-2.893823764499999811e+02 9.695776266666665810e-01 2.164334715755643068e-01 -9.522502986000000647e+01 -1.624423146014324582e+00 6.797909999999999897e+00
-2.889700239800000077e+02 9.827730799999998546e-01 2.129969434434139663e-01 -9.563738232999999411e+01 -3.535546316973551040e+00 8.182043000000000177e+00
-2.885576715099999774e+02 8.838629999999999542e-01 2.076651237170642206e-01 -9.604973479999999597e+01 -3.219737895266110428e+00 6.591796399999999778e+00
-2.881453190400000040e+02 7.753131499999998955e-01 2.079429028821653258e-01 -9.646208726999999783e+01 -1.840755046558670172e+00 1.148577300000000001e+01
-2.877329665699999737e+02 8.296766833333332203e-01 2.053657226334348884e-01 -9.687443973999999969e+01 6.708902581691168487e-01 6.228375999999999912e+00
-2.873206140899999923e+02 9.014355366666665370e-01 2.098059867075480478e-01 -9.728679221999999527e+01 -1.558693614436429398e+00 5.963346500000000106e+00
-2.869082616200000189e+02 8.671859199999999435e-01 2.114905480571110941e-01 -9.769914468999999713e+01 -3.533866943041975350e+00 8.785170000000000812e+00
-2.864959091499999886e+02 8.431145433333332440e-01 2.126592266089994132e-01 -9.811149715999999898e+01 -3.946885661667868472e+00 7.878433700000000428e+00
-2.860835566800000151e+02 9.442052233333332323e-01 2.114884826558421360e-01 -9.852384963000000084e+01 -2.021867434627094617e+00 5.432690599999999925e+00
-2.856712042099999849e+02 1.034670056666666671e+00 2.093959404121331080e-01 -9.893620210000000270e+01 5.236346008034568206e-02 8.547682999999999254e+00
-2.852588517400000114e+02 1.014216666666666544e+00 2.057713434628279103e-01 -9.934855457000000456e+01 1.886592994808132362e+00 7.654022999999999577e+00
